|0|1|2|3|4
48|Smartphone Samsung Galaxy M13 128GB Azul 4G - Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 8MP|R$ 3.399,90|null|ou 10x de R$ 339,99 sem juros|null
49|Smartphone Samsung Galaxy M13 128GB Azul 4G Octa-Core 4GB RAM 6,6” Câm. Tripla + Selfie 8MP|R$ 2.999,00|null|ou 10x de R$ 299,90 sem juros|null
50|Smartphone Samsung Galaxy A23 128GB Azul 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.748,90|null|ou 10x de R$ 174,89 sem juros|null
51|Smartphone Samsung Galaxy A23 128GB Azul 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.849,80|R$ 1.943,90|ou 10x de R$ 184,98 sem juros|null
52|Smartphone Samsung Galaxy A23 128GB Branco 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.249,00|R$ 2.099,99|ou 10x de R$ 138,78 sem juros|938
53|Smartphone Samsung Galaxy A23 128GB Branco 5G - Octa-Core 4GB RAM 6,6” Câm. Quádrupla + Selfie 8MP|R$ 2.688,30|R$ 3.750,00|ou 10x de R$ 298,70 sem juros|null
54|Smartphone Samsung Galaxy A23 128GB Branco 4G - Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 1.798,50|null|ou 10x de R$ 179,85 sem juros|null
55|Smartphone Samsung Galaxy A03 Core 32GB Preto Octa-Core 2GB RAM 6,5” Câm. 8MP + Selfie 5MP|R$ 749,00|R$ 999,00|ou 6x de R$ 138,70 sem juros|1206
56|iPhone 11 Apple 64GB (PRODUCT)RED 6,1” 12MP iOS|R$ 3.059,99|R$ 4.399,00|ou 10x de R$ 340,00 sem juros|732
57|iPhone 11 Apple 64GB Preto 6,1” 12MP iOS|R$ 3.059,99|R$ 4.739,90|ou 10x de R$ 340,00 sem juros|2198
58|Smartphone Samsung Galaxy A13 128GB Preto 4G Octa-Core 4GB RAM 6,6” Câm Quádrupla + Selfie 8MP|R$ 999,00|R$ 1.799,00|ou 9x de R$ 123,33 sem juros|3094
59|iPhone 11 Apple 64GB Branco 6,1” 12MP iOS|R$ 3.059,99|R$ 4.761,90|ou 10x de R$ 340,00 sem juros|2733
60|Smartphone Samsung Galaxy M53 128GB Azul 5G|R$ 1.999,00|R$ 3.499,00|ou 10x de R$ 222,11 sem juros|1312
